Value, Filtered Value, Time
0, 0.006807804, 2.212981
3, 1, 2.219946
2, 1, 2.224821
0, 0.008416176, 2.229124
4, 1, 2.233703
0, 0.01910186, 2.238587
1, 0.9961696, 2.242503
3, 1, 2.24781
0, 0.01253396, 2.252082
2, 1, 2.25765
0, 0.007057428, 2.261257
3, 1, 2.265683
0, 0.01068985, 2.269326
1, 0.9959444, 2.273473
4, 1, 2.285626
2, 1, 2.291243
4, 1, 2.295493
0, 0.01718855, 2.299887
4, 1, 2.306151
2, 1, 2.311911
0, 0.00831151, 2.31616
0, 0, 2.320595
0, 0, 2.326483
3, 1, 2.33129
2, 1, 2.336263
0, 0.006749749, 2.339713
0, 0, 2.343396
0, 0, 2.348817
3, 1, 2.355187
0, 0.01123917, 2.359017
3, 1, 2.365576
2, 1, 2.371007
2, 1, 2.376079
0, 0.006444097, 2.379372
0, 0, 2.383035
3, 1, 2.38802
2, 1, 2.392886
0, 0.006428838, 2.396171
5, 1, 2.400202
0, 0.02081245, 2.404458
3, 1, 2.408603
0, 0.01404583, 2.413392
0, 0, 2.416855
0, 0, 2.420352
2, 1, 2.425047
0, 0.009261489, 2.429784
0, 0, 2.433742
0, 0, 2.437608
1, 0.9955739, 2.442135
0, 0.003669202, 2.445886
0, 0, 2.450068
0, 0, 2.453703
0, 0, 2.457036
0, 0, 2.46085
0, 0, 2.464926
0, 0, 2.468938
2, 1, 2.473377
0, 0.008453965, 2.477699
2, 1, 2.482836
3, 1, 2.488859
0, 0.01054341, 2.492452
1, 0.9966515, 2.495874
0, 0.003454864, 2.499406
0, 0, 2.503467
0, 0, 2.507072
0, 0, 2.510442
0, 0, 2.514554
0, 0, 2.517963
1, 0.9954949, 2.522571
0, 0.004493296, 2.527166
0, 0, 2.530687
2, 1, 2.535668
0, 0.006702542, 2.539094
1, 0.9953465, 2.543853
0, 0.004158497, 2.548105
2, 1, 2.552088
0, 0.008141875, 2.556251
0, 0, 2.559819
0, 0, 2.563581
0, 0, 2.568125
0, 0, 2.571915
1, 0.9961188, 2.575883
0, 0.004677653, 2.580667
2, 1, 2.586373
0, 0.006950378, 2.589926
0, 0, 2.59374
0, 0, 2.597083
0, 0, 2.600372
0, 0, 2.603981
0, 0, 2.607402
0, 0, 2.611322
0, 0, 2.614782
0, 0, 2.619076
0, 0, 2.622348
2, 1, 2.626577
0, 0.008627295, 2.630988
3, 1, 2.635122
1, 1, 2.63912
0, 0.003834546, 2.64304
0, 0, 2.646619
3, 1, 2.650493
0, 0.01027036, 2.653992
1, 0.9961851, 2.657892
0, 0.003549933, 2.661521
1, 0.9959605, 2.665651
0, 0.004401863, 2.670153
1, 0.9961286, 2.674111
0, 0.003334165, 2.677519
0, 0, 2.681125
0, 0, 2.685311
0, 0, 2.697586
0, 0, 2.70185
0, 0, 2.705887
0, 0, 2.710059
0, 0, 2.713479
0, 0, 2.717206
0, 0, 2.720956
0, 0, 2.726017
0, 0, 2.729392
0, 0, 2.733005
1, 0.9938892, 2.73926
0, 0.003567219, 2.742906
0, 0, 2.747939
0, 0, 2.752219
0, 0, 2.755756
0, 0, 2.759374
0, 0, 2.763697
0, 0, 2.767637
0, 0, 2.772669
0, 0, 2.776699
0, 0, 2.781034
0, 0, 2.784563
0, 0, 2.78816
0, 0, 2.792036
0, 0, 2.796144
0, 0, 2.800441
0, 0, 2.804012
0, 0, 2.807935
0, 0, 2.81156
0, 0, 2.814989
0, 0, 2.818329
0, 0, 2.821918
0, 0, 2.826366
0, 0, 2.830078
0, 0, 2.83405
0, 0, 2.83802
0, 0, 2.841308
0, 0, 2.84534
0, 0, 2.848802
0, 0, 2.853014
0, 0, 2.856988
0, 0, 2.860375
0, 0, 2.864103
0, 0, 2.867835
0, 0, 2.871227
0, 0, 2.875904
0, 0, 2.879377
0, 0, 2.8829
0, 0, 2.886358
0, 0, 2.889741
0, 0, 2.893223
0, 0, 2.896737
0, 0, 2.900208
0, 0, 2.903837
0, 0, 2.907411
0, 0, 2.911478
0, 0, 2.914796
0, 0, 2.918114
0, 0, 2.921563
0, 0, 2.925236
0, 0, 2.929418
0, 0, 2.932722
0, 0, 2.936089
0, 0, 2.940252
0, 0, 2.945363
0, 0, 2.949318
0, 0, 2.954412
0, 0, 2.958427
0, 0, 2.961802
0, 0, 2.96548
0, 0, 2.969654
0, 0, 2.973733
0, 0, 2.977641
0, 0, 2.981485
0, 0, 2.985991
1, 0.9948377, 2.991273
0, 0.00416559, 2.995532
0, 0, 3.000821
0, 0, 3.004518
0, 0, 3.008406
0, 0, 3.012373
0, 0, 3.015891
0, 0, 3.019095
0, 0, 3.022383
0, 0, 3.026031
0, 0, 3.030188
0, 0, 3.033546
0, 0, 3.036795
0, 0, 3.040046
0, 0, 3.044108
0, 0, 3.048426
0, 0, 3.051966
0, 0, 3.055251
0, 0, 3.058598
0, 0, 3.062898
0, 0, 3.067315
0, 0, 3.070976
0, 0, 3.07451
0, 0, 3.085422
0, 0, 3.089883
0, 0, 3.093894
0, 0, 3.097948
0, 0, 3.101254
0, 0, 3.104703
0, 0, 3.108059
0, 0, 3.111319
0, 0, 3.115462
0, 0, 3.118972
0, 0, 3.122278
0, 0, 3.125918
0, 0, 3.129237
0, 0, 3.133105
0, 0, 3.136733
0, 0, 3.140098
0, 0, 3.143766
0, 0, 3.147308
0, 0, 3.150633
0, 0, 3.154047
0, 0, 3.157418
0, 0, 3.160789
0, 0, 3.164381
0, 0, 3.167894
0, 0, 3.172127
0, 0, 3.175588
0, 0, 3.178964
0, 0, 3.182754
0, 0, 3.187044
0, 0, 3.191273
0, 0, 3.194573
0, 0, 3.198339
1, 0.9955053, 3.202935
0, 0.004223883, 3.207254
0, 0, 3.210714
0, 0, 3.215035
0, 0, 3.2183
0, 0, 3.221669
0, 0, 3.225849
0, 0, 3.229544
0, 0, 3.233131
0, 0, 3.236615
0, 0, 3.239912
0, 0, 3.244089
0, 0, 3.247593
0, 0, 3.251125
0, 0, 3.254836
0, 0, 3.258263
0, 0, 3.262641
0, 0, 3.267191
0, 0, 3.270606
0, 0, 3.273871
0, 0, 3.277174
0, 0, 3.281094
0, 0, 3.284473
0, 0, 3.287991
0, 0, 3.291267
0, 0, 3.295493
0, 0, 3.299446
0, 0, 3.302776
0, 0, 3.30733
0, 0, 3.31062
0, 0, 3.314505
0, 0, 3.319137
0, 0, 3.322716
0, 0, 3.326509
-1, -0.9958106, 3.330793
0, -0.004218221, 3.335106
0, 0, 3.338666
0, 0, 3.342326
-3, -1, 3.346718
0, -0.01002324, 3.350133
-1, -0.9961651, 3.354053
0, -0.004071832, 3.358217
0, 0, 3.361706
0, 0, 3.366143
-1, -0.9960863, 3.370145
0, -0.003344238, 3.373563
0, 0, 3.377142
0, 0, 3.380625
0, 0, 3.385096
0, 0, 3.388468
0, 0, 3.391976
0, 0, 3.395462
-1, -0.9952855, 3.400284
0, -0.004289925, 3.404671
0, 0, 3.408097
0, 0, 3.412355
0, 0, 3.415643
0, 0, 3.419035
0, 0, 3.422555
0, 0, 3.426889
0, 0, 3.43054
0, 0, 3.434059
0, 0, 3.4376
0, 0, 3.441938
0, 0, 3.445529
0, 0, 3.448902
0, 0, 3.452372
0, 0, 3.455632
0, 0, 3.466666
0, 0, 3.47301
0, 0, 3.476608
0, 0, 3.480418
0, 0, 3.484592
0, 0, 3.488813
0, 0, 3.492204
0, 0, 3.497607
0, 0, 3.504273
0, 0, 3.507768
0, 0, 3.513762
0, 0, 3.51972
0, 0, 3.523769
0, 0, 3.527746
0, 0, 3.53122
0, 0, 3.534985
0, 0, 3.538499
0, 0, 3.542089
0, 0, 3.546172
0, 0, 3.549577
0, 0, 3.552987
0, 0, 3.55635
0, 0, 3.559701
0, 0, 3.563035
0, 0, 3.567167
0, 0, 3.570463
0, 0, 3.574148
0, 0, 3.577505
0, 0, 3.581146
0, 0, 3.585253
0, 0, 3.589265
0, 0, 3.592527
0, 0, 3.596955
0, 0, 3.600436
0, 0, 3.604245
0, 0, 3.607568
0, 0, 3.611303
0, 0, 3.615788
0, 0, 3.619178
0, 0, 3.622541
0, 0, 3.62601
0, 0, 3.629525
0, 0, 3.6332
0, 0, 3.636656
0, 0, 3.640075
0, 0, 3.643644
0, 0, 3.647158
0, 0, 3.651182
0, 0, 3.655452
0, 0, 3.659161
0, 0, 3.66321
0, 0, 3.667202
0, 0, 3.670751
0, 0, 3.674141
0, 0, 3.677604
0, 0, 3.680887
0, 0, 3.684585
0, 0, 3.688034
0, 0, 3.691292
0, 0, 3.694578
0, 0, 3.698066
0, 0, 3.701339
0, 0, 3.705005
0, 0, 3.708945
0, 0, 3.712218
0, 0, 3.715951
0, 0, 3.719343
0, 0, 3.722651
0, 0, 3.726129
0, 0, 3.729606
0, 0, 3.733064
0, 0, 3.736539
0, 0, 3.740681
0, 0, 3.744808
0, 0, 3.748178
0, 0, 3.752454
0, 0, 3.755984
0, 0, 3.759252
0, 0, 3.762686
0, 0, 3.767169
0, 0, 3.770474
0, 0, 3.773803
0, 0, 3.776997
0, 0, 3.780392
0, 0, 3.784764
0, 0, 3.788604
0, 0, 3.792651
0, 0, 3.796399
0, 0, 3.799817
0, 0, 3.804179
0, 0, 3.807818
0, 0, 3.812026
0, 0, 3.815707
0, 0, 3.819071
0, 0, 3.822488
0, 0, 3.828644
0, 0, 3.832816
0, 0, 3.836403
0, 0, 3.839872
0, 0, 3.844233
0, 0, 3.847831
0, 0, 3.851282
0, 0, 3.862025
0, 0, 3.869437
0, 0, 3.872884
0, 0, 3.877257
0, 0, 3.881085
0, 0, 3.884911
0, 0, 3.88826
0, 0, 3.892069
0, 0, 3.895665
0, 0, 3.899763
0, 0, 3.903952
0, 0, 3.907756
0, 0, 3.911126
0, 0, 3.914737
0, 0, 3.918896
0, 0, 3.922518
0, 0, 3.926926
0, 0, 3.931043
0, 0, 3.934302
0, 0, 3.937608
0, 0, 3.941052
0, 0, 3.945897
0, 0, 3.949256
0, 0, 3.95267
0, 0, 3.956882
0, 0, 3.960297
0, 0, 3.964208
0, 0, 3.968085
0, 0, 3.971595
0, 0, 3.974912
0, 0, 3.978422
0, 0, 3.982198
0, 0, 3.986041
0, 0, 3.990088
0, 0, 3.993444
0, 0, 3.997166
0, 0, 4.000893
0, 0, 4.004655
0, 0, 4.007938
0, 0, 4.012807
0, 0, 4.016314
0, 0, 4.019572
0, 0, 4.023229
0, 0, 4.026865
0, 0, 4.030378
0, 0, 4.033947
0, 0, 4.037515
0, 0, 4.041053
0, 0, 4.045224
0, 0, 4.049728
0, 0, 4.053103
0, 0, 4.056405
0, 0, 4.059784
0, 0, 4.06413
0, 0, 4.067948
0, 0, 4.07171
0, 0, 4.075084
0, 0, 4.079475
0, 0, 4.083052
0, 0, 4.087386
0, 0, 4.090941
0, 0, 4.094349
0, 0, 4.097874
0, 0, 4.10213
0, 0, 4.107656
0, 0, 4.111215
0, 0, 4.116515
0, 0, 4.120052
0, 0, 4.124885
0, 0, 4.128169
0, 0, 4.131579
0, 0, 4.134918
0, 0, 4.138289
0, 0, 4.144154
0, 0, 4.147688
0, 0, 4.151428
0, 0, 4.154751
0, 0, 4.158183
0, 0, 4.161695
0, 0, 4.166163
0, 0, 4.169526
0, 0, 4.172781
0, 0, 4.176106
0, 0, 4.179788
0, 0, 4.183056
0, 0, 4.187488
0, 0, 4.191741
0, 0, 4.195754
0, 0, 4.198993
0, 0, 4.203365
0, 0, 4.206903
0, 0, 4.210914
0, 0, 4.214376
0, 0, 4.217665
0, 0, 4.221692
0, 0, 4.225698
0, 0, 4.229887
0, 0, 4.233424
0, 0, 4.236957
0, 0, 4.240783
0, 0, 4.244268
0, 0, 4.248017
0, 0, 4.252004
0, 0, 4.255363
0, 0, 4.267346
0, 0, 4.273631
0, 0, 4.278122
0, 0, 4.281556
0, 0, 4.285234
0, 0, 4.288529
0, 0, 4.291783
0, 0, 4.295438
0, 0, 4.302267
0, 0, 4.306607
0, 0, 4.310018
0, 0, 4.313449
0, 0, 4.317155
0, 0, 4.320623
0, 0, 4.328069
0, 0, 4.335182
0, 0, 4.341162
0, 0, 4.344752
0, 0, 4.348198
0, 0, 4.351522
0, 0, 4.354809
0, 0, 4.358253
0, 0, 4.362084
0, 0, 4.365536
0, 0, 4.370037
0, 0, 4.373593
0, 0, 4.377825
0, 0, 4.381569
0, 0, 4.385183
0, 0, 4.388681
0, 0, 4.391922
0, 0, 4.395467
0, 0, 4.399418
0, 0, 4.4031
0, 0, 4.407063
0, 0, 4.411141
0, 0, 4.41455
0, 0, 4.417936
0, 0, 4.421884
0, 0, 4.425483
0, 0, 4.429665
0, 0, 4.43303
0, 0, 4.436558
0, 0, 4.439986
0, 0, 4.443407
0, 0, 4.44693
0, 0, 4.450255
0, 0, 4.453515
0, 0, 4.456851
0, 0, 4.460158
0, 0, 4.463683
0, 0, 4.467108
0, 0, 4.471296
0, 0, 4.474569
0, 0, 4.479234
0, 0, 4.48266
0, 0, 4.486568
0, 0, 4.49069
0, 0, 4.493958
0, 0, 4.497859
0, 0, 4.501245
0, 0, 4.504866
0, 0, 4.508228
0, 0, 4.511579
0, 0, 4.515947
0, 0, 4.520455
0, 0, 4.524416
0, 0, 4.527797
0, 0, 4.531104
0, 0, 4.534546
0, 0, 4.538198
0, 0, 4.541641
0, 0, 4.545429
0, 0, 4.548906
0, 0, 4.552829
0, 0, 4.556119
0, 0, 4.559648
0, 0, 4.563298
0, 0, 4.567132
0, 0, 4.571357
0, 0, 4.577371
